cisp;mes;ano;mes_ano;aisp;risp;munic;mcirc;regiao;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;registro_ocorrencias;fase
29;2;2020;2020-02-01;9;2;Rio de Janeiro;3304557;Capital;5;0;0;5;2;7;0;57;1;1;29;161;63;41;265;46;6;7;0;0;1;0;2;50;377;16;38;26;36;130;246;0;1;0;49;5;1;3;2;16;36;3;5;2;42;6;2;0;0;0;981;3
30;2;2020;2020-02-01;9;2;Rio de Janeiro;3304557;Capital;3;0;0;3;1;4;0;39;1;0;7;62;27;7;96;31;2;1;0;0;0;1;1;11;143;10;8;7;13;31;69;0;1;5;38;2;0;2;0;26;13;1;2;3;49;4;0;0;0;0;489;3
31;2;2020;2020-02-01;41;2;Rio de Janeiro;3304557;Capital;2;0;1;3;6;9;3;64;3;1;14;123;26;13;162;113;22;0;0;0;0;0;1;22;320;7;15;7;8;41;78;0;0;0;23;3;0;3;0;75;16;2;14;7;44;4;0;0;0;0;741;3
32;2;2020;2020-02-01;18;2;Rio de Janeiro;3304557;Capital;8;0;0;8;2;10;4;155;6;0;43;89;29;35;153;31;3;4;1;0;0;0;4;35;231;21;17;34;33;231;339;0;2;0;94;7;2;4;1;28;47;9;17;10;132;8;1;0;0;0;1256;3
33;2;2020;2020-02-01;14;2;Rio de Janeiro;3304557;Capital;5;0;1;6;2;8;9;92;4;2;30;138;60;41;239;151;17;24;0;0;0;0;4;33;468;35;12;16;22;65;153;0;1;0;78;14;4;8;2;60;43;7;5;0;81;4;0;0;0;0;1131;3
34;2;2020;2020-02-01;14;2;Rio de Janeiro;3304557;Capital;6;0;0;6;11;17;16;118;16;2;42;207;83;32;322;106;17;2;1;0;0;0;1;36;485;31;41;7;30;108;218;0;2;0;90;47;7;34;6;88;43;7;23;2;89;16;1;0;0;0;1480;3
35;2;2020;2020-02-01;40;2;Rio de Janeiro;3304557;Capital;4;1;0;5;2;7;8;191;20;2;41;92;40;11;143;76;7;5;1;0;0;0;4;27;263;59;44;28;66;141;338;0;6;2;128;2;1;0;1;24;44;6;25;4;153;9;3;0;0;0;1368;3
36;2;2020;2020-02-01;27;2;Rio de Janeiro;3304557;Capital;4;0;0;4;0;4;0;127;11;4;40;61;26;4;91;14;5;2;0;0;0;0;0;5;117;29;21;3;13;100;166;0;2;0;51;1;0;1;0;8;19;0;10;1;78;6;0;0;0;0;813;3
37;2;2020;2020-02-01;17;1;Rio de Janeiro;3304557;Capital;3;0;0;3;0;3;0;75;2;1;19;33;3;4;40;12;0;7;0;0;0;0;0;12;71;23;17;6;10;106;163;0;3;0;46;2;1;0;1;16;12;5;4;0;49;3;2;1;0;0;620;3
38;2;2020;2020-02-01;16;1;Rio de Janeiro;3304557;Capital;2;0;0;2;4;6;0;61;0;2;23;89;33;28;150;57;14;3;2;0;0;0;2;37;265;8;5;2;11;40;66;0;2;0;29;7;0;6;2;35;36;3;6;5;49;6;0;0;0;0;651;3
