cisp;mes;ano;mes_ano;aisp;risp;munic;mcirc;regiao;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;registro_ocorrencias;fase
109;3;2020;2020-03-01;38;7;Sapucaia;3305406;Interior;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;7;0;0;0;1;16;13;2;1;1;6;0;2;0;2;0;0;0;0;0;37;3
110;3;2020;2020-03-01;30;7;Teresópolis;3305802;Interior;3;0;0;3;0;3;1;42;4;3;11;1;1;0;2;0;0;0;1;0;0;0;0;2;5;4;4;0;3;58;69;0;1;0;31;38;9;27;3;4;54;8;8;0;70;0;0;0;0;0;429;3
111;3;2020;2020-03-01;30;7;Sumidouro;3305703;Interior;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;3;4;0;0;0;0;5;3;2;0;2;7;0;2;0;3;0;0;0;0;0;35;3
112;3;2020;2020-03-01;30;7;Carmo;3301207;Interior;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;0;0;1;8;5;2;1;0;4;0;0;0;6;0;0;0;0;0;43;3
118;3;2020;2020-03-01;25;4;Araruama;3300209;Interior;8;0;0;8;0;8;1;29;2;0;34;4;0;0;4;6;1;2;1;0;0;0;0;3;17;16;7;0;12;61;100;0;3;0;19;16;2;12;2;6;16;4;7;0;24;6;0;0;0;0;333;3
119;3;2020;2020-03-01;35;4;Rio Bonito;3304300;Interior;0;0;0;0;0;0;1;18;0;2;4;3;0;0;3;4;1;0;0;0;0;0;0;4;12;8;1;0;1;8;18;0;0;0;1;10;3;6;1;0;11;4;1;0;10;0;0;0;0;0;88;3
120;3;2020;2020-03-01;35;4;Silva Jardim;3305604;Interior;0;0;0;0;0;0;1;10;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;6;8;0;0;0;2;1;0;1;0;0;1;0;1;0;7;0;0;0;0;0;51;3
121;3;2020;2020-03-01;32;6;Casimiro de Abreu;3301306;Interior;4;0;0;4;0;4;1;11;2;0;4;1;1;0;2;1;1;0;0;0;0;0;0;1;5;1;0;0;1;7;9;0;1;0;2;8;1;7;0;2;7;2;3;0;13;1;0;0;0;0;78;3
122;3;2020;2020-03-01;32;6;Conceição de Macabú;3301405;Interior;1;0;0;1;0;1;0;8;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;1;0;0;0;3;6;0;0;0;2;2;0;0;2;1;2;0;1;0;7;0;0;0;0;0;43;3
123;3;2020;2020-03-01;32;6;Macaé;3302403;Interior;23;0;1;24;1;25;16;56;4;3;10;50;24;3;77;9;1;2;0;0;0;0;1;17;107;16;11;12;4;101;146;0;3;0;50;20;1;16;3;9;44;9;5;1;51;4;2;0;0;0;609;3
124;3;2020;2020-03-01;25;4;Saquarema;3305505;Interior;2;0;0;2;0;2;5;22;1;0;12;7;2;0;9;4;0;2;1;0;0;0;0;6;22;6;2;1;4;23;36;0;0;0;6;11;4;7;0;5;13;3;1;0;29;4;0;0;0;0;211;3
125;3;2020;2020-03-01;25;4;São Pedro da Aldeia;3305208;Interior;7;0;0;7;0;7;7;23;1;1;2;6;7;0;13;5;0;2;0;0;0;0;0;0;20;4;1;0;4;23;33;0;0;0;10;14;5;9;0;7;12;5;3;1;19;2;0;0;0;0;204;3
126;3;2020;2020-03-01;25;4;Cabo Frio;3300704;Interior;14;0;0;14;0;14;8;50;6;3;20;29;15;3;47;14;1;1;2;0;1;0;0;14;80;16;12;1;20;126;176;0;0;0;33;45;4;38;4;7;51;15;17;0;35;3;1;0;0;0;639;3
127;3;2020;2020-03-01;25;4;Armação dos Búzios;3300233;Interior;2;0;0;2;0;2;1;24;0;0;3;3;1;0;4;1;0;0;1;0;0;0;0;3;9;3;0;1;0;31;35;0;1;0;6;11;2;8;3;2;14;1;3;0;14;2;0;0;0;0;172;3
128;3;2020;2020-03-01;32;6;Rio das Ostras;3304524;Interior;4;0;0;4;1;5;8;44;1;0;6;16;2;0;18;3;0;1;1;0;0;0;0;8;31;15;3;2;4;95;124;0;1;0;44;22;3;22;0;5;38;3;8;6;51;3;0;0;0;0;470;3
129;3;2020;2020-03-01;25;4;Iguaba Grande;3301876;Interior;3;0;0;3;0;3;0;16;1;0;2;4;4;0;8;4;0;0;1;0;0;0;0;0;13;4;1;0;2;18;26;0;0;0;2;1;0;1;0;1;2;1;11;0;11;0;0;0;0;0;113;3
130;3;2020;2020-03-01;32;6;"Quissamã;Carapebus";9999994;Interior;2;0;0;2;0;2;3;16;2;0;3;0;1;0;1;0;1;0;0;0;0;0;0;0;2;0;0;1;4;4;9;0;0;0;1;3;0;3;0;0;10;1;0;0;8;0;0;0;0;0;75;3
132;3;2020;2020-03-01;25;4;Arraial do Cabo;3300258;Interior;1;0;0;1;0;1;0;6;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;3;1;3;1;0;17;22;0;0;0;5;15;6;9;1;1;14;4;3;0;9;0;0;0;0;0;92;3
134;3;2020;2020-03-01;8;6;Campos dos Goytacazes;3301009;Interior;5;0;0;5;0;5;3;43;6;2;12;31;12;0;43;5;1;8;1;0;0;0;1;22;82;21;4;4;3;136;169;0;1;0;65;31;8;16;8;12;41;3;20;1;36;2;0;0;0;0;654;3
135;3;2020;2020-03-01;36;6;Itaocara;3302106;Interior;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;1;5;4;2;0;0;1;0;1;0;5;0;0;0;0;0;39;3
136;3;2020;2020-03-01;36;6;"Santo Antônio de Pádua;Aperibé";9999993;Interior;1;0;0;1;0;1;1;9;1;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;2;0;0;7;13;0;0;0;4;14;5;9;1;1;15;1;2;0;21;0;0;0;0;0;113;3
137;3;2020;2020-03-01;36;6;Miracema;3303005;Interior;2;0;0;2;0;2;3;12;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;3;13;10;3;0;1;6;1;2;1;5;0;0;0;0;0;64;3
138;3;2020;2020-03-01;29;6;Laje do Muriaé;3302304;Interior;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;16;3
139;3;2020;2020-03-01;29;6;Porciúncula;3304102;Interior;0;0;0;0;0;0;0;7;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;0;0;0;1;14;8;6;0;0;5;0;0;0;9;0;0;0;0;0;63;3
140;3;2020;2020-03-01;29;6;"Natividade;Varre-Sai";9999997;Interior;1;0;0;1;0;1;0;3;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;3;0;0;0;2;5;4;1;0;0;1;0;0;0;5;0;0;0;0;0;37;3
141;3;2020;2020-03-01;8;6;São Fidélis;3304805;Interior;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;1;6;9;0;0;0;3;14;2;10;2;1;11;3;1;0;5;0;0;0;0;0;68;3
142;3;2020;2020-03-01;36;6;Cambuci;3300902;Interior;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;2;1;1;0;0;2;0;0;0;3;1;0;0;0;0;16;3
143;3;2020;2020-03-01;29;6;"Itaperuna;São José de Ubá";9999996;Interior;10;0;0;10;2;12;10;34;2;1;4;0;1;0;1;0;0;0;1;0;0;0;0;0;2;4;0;0;5;9;21;0;2;0;10;60;38;20;4;1;21;1;7;1;22;1;0;0;0;0;257;3
144;3;2020;2020-03-01;29;6;Bom Jesus de Itabapoana;3300605;Interior;1;0;0;1;0;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;2;2;8;0;1;0;0;12;2;10;1;1;12;1;7;0;8;0;0;0;0;0;78;3
145;3;2020;2020-03-01;8;6;São João da Barra;3305000;Interior;0;0;0;0;0;0;1;20;1;1;1;0;1;0;1;2;0;0;0;0;0;0;0;3;6;2;1;0;2;52;57;0;0;0;4;10;5;5;1;1;14;2;3;1;20;0;0;0;0;0;159;3
146;3;2020;2020-03-01;8;6;Campos dos Goytacazes;3301009;Interior;6;0;0;6;1;7;11;32;5;3;26;13;9;0;22;5;0;1;2;0;0;0;0;6;36;9;2;3;2;25;41;0;0;0;15;33;4;29;1;9;73;14;27;3;19;2;1;0;0;0;315;3
147;3;2020;2020-03-01;8;6;São Francisco de Itabapoana;3304755;Interior;3;0;0;3;0;3;2;3;0;0;2;2;0;0;2;0;0;1;0;0;0;0;0;0;3;0;0;0;0;2;2;0;0;0;1;5;2;2;1;1;6;0;1;0;5;0;0;0;0;0;39;3
148;3;2020;2020-03-01;29;6;"Cardoso Moreira;Italva";9999995;Interior;0;0;0;0;0;0;1;13;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;0;0;0;1;6;4;2;0;0;5;0;1;0;12;0;0;0;0;0;65;3
151;3;2020;2020-03-01;11;7;Nova Friburgo;3303401;Interior;1;0;0;1;0;1;0;83;2;1;19;3;0;0;3;4;0;0;0;0;0;0;0;1;8;4;2;0;5;15;26;0;0;0;16;47;18;23;6;5;38;7;8;0;46;1;0;0;0;0;298;3
152;3;2020;2020-03-01;11;7;Duas Barras;3301603;Interior;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;10;3
153;3;2020;2020-03-01;11;7;Cantagalo;3301108;Interior;0;0;0;0;0;0;0;4;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;2;6;0;0;0;1;3;2;2;0;0;2;0;0;0;5;0;0;0;0;0;41;3
154;3;2020;2020-03-01;11;7;"Cordeiro;Macuco";9999998;Interior;1;0;0;1;0;1;1;16;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;6;0;0;0;2;11;5;6;0;0;5;0;2;1;13;0;0;0;0;0;78;3
155;3;2020;2020-03-01;36;6;São Sebastião do Alto;3305307;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;7;3
156;3;2020;2020-03-01;11;7;Santa Maria Madalena;3304607;Interior;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;1;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;16;3
157;3;2020;2020-03-01;11;7;Trajano de Morais;3305901;Interior;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;12;3
158;3;2020;2020-03-01;11;7;Bom Jardim;3300506;Interior;0;0;0;0;0;0;0;9;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;1;8;4;3;1;0;12;2;1;0;7;0;0;0;0;0;42;3
159;3;2020;2020-03-01;35;4;Cachoeiras de Macacu;3300803;Interior;1;0;0;1;0;1;0;21;2;0;5;1;1;1;3;0;0;0;0;0;0;0;0;1;4;0;0;0;0;8;9;0;0;0;1;4;1;3;0;1;6;0;3;0;15;0;0;0;0;0;70;3
165;3;2020;2020-03-01;33;5;Mangaratiba;3302601;Interior;0;0;0;0;0;0;0;19;4;1;3;3;2;0;5;1;0;0;0;0;0;0;0;0;6;3;1;0;4;22;30;0;1;0;6;6;1;5;0;1;3;1;1;0;21;0;0;0;0;0;142;3
166;3;2020;2020-03-01;33;5;Angra dos Reis;3300100;Interior;4;0;0;4;4;8;1;63;5;3;5;5;5;0;10;0;0;2;1;0;0;0;0;4;17;2;1;0;2;16;21;0;1;0;8;52;14;29;10;6;39;8;5;1;34;3;0;0;0;0;266;3
167;3;2020;2020-03-01;33;5;Paraty;3303807;Interior;1;0;0;1;0;1;4;15;0;0;2;2;1;0;3;1;0;0;0;0;0;0;0;0;4;1;2;0;4;7;14;0;1;0;7;11;7;2;2;4;7;4;3;0;14;1;0;0;0;0;112;3
168;3;2020;2020-03-01;28;5;Rio Claro;3304409;Interior;0;0;0;0;0;0;1;7;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;3;2;1;0;0;5;0;1;0;4;0;0;0;0;0;32;3
1;4;2020;2020-04-01;5;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;0;2;1;0;1;19;9;3;31;1;0;2;0;0;0;0;1;5;40;7;9;2;14;33;67;0;0;0;34;0;0;0;0;2;4;0;1;0;3;0;0;0;0;0;262;3
4;4;2020;2020-04-01;5;1;Rio de Janeiro;3304557;Capital;3;0;0;3;0;3;1;3;0;1;2;11;3;0;14;3;0;1;0;0;0;0;0;2;20;3;3;0;4;17;27;0;0;0;5;3;1;1;1;1;4;4;1;0;4;2;0;0;0;0;121;3
5;4;2020;2020-04-01;5;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;1;10;0;0;5;24;12;2;38;2;0;3;0;0;0;0;1;7;53;8;13;4;14;58;105;0;1;0;40;10;2;8;1;2;28;2;4;0;13;3;0;0;0;0;327;3
6;4;2020;2020-04-01;4;1;Rio de Janeiro;3304557;Capital;4;0;0;4;2;6;7;5;0;0;6;22;9;7;38;18;3;3;0;0;0;0;1;15;78;9;7;1;5;40;62;0;0;0;25;7;4;4;0;24;20;3;2;0;8;4;0;0;0;0;296;3
7;4;2020;2020-04-01;5;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;0;2;1;0;0;2;0;1;3;3;0;0;0;0;0;0;0;9;16;7;0;0;0;5;12;0;0;0;1;1;0;1;0;2;2;0;1;0;3;0;2;0;0;0;53;3
9;4;2020;2020-04-01;2;1;Rio de Janeiro;3304557;Capital;1;0;0;1;1;2;1;19;0;0;7;35;16;3;54;10;1;0;1;0;0;0;1;9;77;30;6;2;9;37;91;0;1;0;69;4;3;1;0;3;18;4;0;0;10;1;0;0;0;0;385;3
10;4;2020;2020-04-01;2;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;0;6;1;2;4;16;5;2;23;9;0;1;0;0;0;0;0;14;47;16;4;6;10;80;133;0;4;0;54;1;1;0;0;2;12;3;1;0;14;4;0;0;0;0;382;3
11;4;2020;2020-04-01;23;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;5;0;0;0;3;1;1;0;0;0;0;0;0;0;4;0;0;0;0;0;23;3
12;4;2020;2020-04-01;19;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;1;11;1;0;1;3;0;0;3;0;1;0;0;0;0;0;0;1;5;6;3;2;8;28;53;0;0;0;7;9;8;1;0;3;18;3;5;0;8;1;0;0;0;0;159;3
13;4;2020;2020-04-01;19;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;0;4;0;0;0;5;0;1;6;0;0;1;0;0;0;0;0;2;10;1;3;1;8;37;55;0;1;0;34;4;4;0;0;0;21;5;0;0;7;0;0;0;0;0;200;3
14;4;2020;2020-04-01;23;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;0;2;1;0;1;6;4;1;11;0;0;0;0;0;0;0;0;1;12;3;1;2;3;36;55;0;4;0;35;4;2;2;0;0;28;7;4;0;2;1;0;0;0;0;173;3
15;4;2020;2020-04-01;23;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;0;5;2;1;2;1;1;0;2;1;1;1;1;0;0;0;0;1;7;9;0;1;0;23;33;0;1;0;23;2;0;2;0;0;4;1;1;0;5;1;0;0;0;0;130;3
16;4;2020;2020-04-01;31;2;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;2;22;2;2;18;15;6;6;27;4;0;7;0;0;0;0;3;6;47;2;4;8;13;102;132;0;4;0;97;2;1;0;1;3;31;6;12;0;23;1;0;0;0;0;536;3
17;4;2020;2020-04-01;4;1;Rio de Janeiro;3304557;Capital;1;0;0;1;1;2;6;15;1;2;9;29;7;10;46;14;0;4;0;0;0;0;0;16;80;10;5;6;0;44;66;0;0;0;15;4;0;3;1;11;19;0;4;0;11;6;1;0;0;0;292;3
18;4;2020;2020-04-01;6;1;Rio de Janeiro;3304557;Capital;2;0;0;2;3;5;0;6;0;0;6;20;6;0;26;16;0;2;0;0;1;0;0;5;53;3;6;0;2;82;95;0;1;0;5;1;1;0;0;1;12;0;2;0;3;1;0;0;0;0;218;3
19;4;2020;2020-04-01;6;1;Rio de Janeiro;3304557;Capital;2;0;0;2;3;5;14;23;1;1;5;18;4;1;23;14;1;1;0;0;0;0;0;14;53;1;5;0;5;95;107;0;0;0;57;3;1;2;0;6;19;4;11;0;13;0;0;0;0;0;375;3
20;4;2020;2020-04-01;6;1;Rio de Janeiro;3304557;Capital;0;0;0;0;1;1;2;24;1;0;6;32;10;4;46;16;0;5;2;0;0;0;1;18;88;11;9;1;6;177;204;0;0;0;46;1;0;1;0;2;10;2;1;0;22;1;1;0;0;0;508;3
21;4;2020;2020-04-01;22;1;Rio de Janeiro;3304557;Capital;5;0;0;5;0;5;0;24;3;2;7;65;17;36;118;39;7;5;1;0;0;1;1;49;221;21;10;11;6;146;196;0;1;0;64;11;7;4;0;61;21;2;23;0;20;7;1;0;0;0;780;3
22;4;2020;2020-04-01;16;1;Rio de Janeiro;3304557;Capital;8;0;0;8;1;9;5;14;3;1;2;21;12;4;37;30;6;3;0;0;0;0;0;13;89;13;1;0;0;57;71;0;3;0;19;3;0;3;0;6;25;3;4;0;10;1;0;0;1;0;294;3
23;4;2020;2020-04-01;3;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;0;16;0;1;4;45;17;1;63;12;1;3;1;0;0;0;0;20;102;6;4;0;3;66;80;0;0;0;31;1;1;0;0;1;15;0;3;0;10;1;0;0;0;0;298;3
24;4;2020;2020-04-01;3;1;Rio de Janeiro;3304557;Capital;1;0;0;1;1;2;0;16;0;3;1;29;10;3;42;30;0;1;0;0;1;0;1;13;88;8;5;0;0;25;39;0;0;0;15;2;0;2;0;8;14;2;3;0;11;2;0;0;0;0;219;3
25;4;2020;2020-04-01;3;1;Rio de Janeiro;3304557;Capital;1;0;0;1;4;5;0;14;1;0;2;35;14;9;58;15;4;1;1;0;0;0;0;30;109;5;3;1;3;84;96;0;1;0;25;10;4;5;1;9;23;1;7;0;16;1;0;0;0;0;357;3
26;4;2020;2020-04-01;3;1;Rio de Janeiro;3304557;Capital;1;0;0;1;0;1;2;9;1;0;4;15;7;0;22;3;0;0;0;0;0;0;0;7;32;1;3;0;3;73;80;0;1;0;23;3;1;2;0;2;16;2;4;0;8;1;0;0;0;0;233;3
27;4;2020;2020-04-01;41;2;Rio de Janeiro;3304557;Capital;3;0;0;3;4;7;2;45;0;1;12;113;36;9;158;60;3;4;4;0;0;0;0;60;289;16;9;0;6;115;147;0;3;0;76;4;0;4;0;23;21;0;9;0;37;1;0;0;0;0;758;3
28;4;2020;2020-04-01;18;2;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;1;6;1;0;5;15;4;2;21;11;2;0;0;0;0;0;3;3;40;3;0;1;1;18;23;0;0;0;8;0;0;0;0;4;5;0;2;0;6;1;0;0;0;0;115;3
29;4;2020;2020-04-01;9;2;Rio de Janeiro;3304557;Capital;5;0;0;5;0;5;3;23;0;0;3;115;17;11;143;27;5;2;0;0;0;0;2;44;223;8;11;9;5;72;105;0;3;2;36;6;0;6;0;12;23;4;4;0;22;2;1;0;0;0;505;3
30;4;2020;2020-04-01;9;2;Rio de Janeiro;3304557;Capital;1;0;0;1;0;1;0;17;0;0;3;26;13;2;41;38;0;1;0;0;1;0;1;4;86;11;3;2;2;17;35;0;3;1;12;8;0;8;0;23;14;1;4;0;22;0;0;0;0;0;252;3
31;4;2020;2020-04-01;41;2;Rio de Janeiro;3304557;Capital;0;0;0;0;2;2;10;16;0;1;4;85;13;10;108;55;12;1;0;0;0;0;1;23;200;11;3;1;1;27;43;0;0;0;23;5;0;5;0;53;19;5;4;0;23;3;0;0;0;0;453;3
32;4;2020;2020-04-01;18;2;Rio de Janeiro;3304557;Capital;2;0;0;2;5;7;4;71;11;2;10;25;18;9;52;19;1;2;1;0;0;0;2;7;84;8;9;7;7;138;172;0;1;0;117;5;0;5;0;11;57;8;19;1;73;4;0;0;0;0;681;3
33;4;2020;2020-04-01;14;2;Rio de Janeiro;3304557;Capital;6;0;0;6;1;7;4;59;1;2;22;54;27;10;91;118;5;3;0;0;0;0;2;47;266;25;1;2;3;70;101;0;3;0;65;7;0;6;2;40;33;8;4;0;42;1;0;0;0;0;691;3
34;4;2020;2020-04-01;14;2;Rio de Janeiro;3304557;Capital;5;0;0;5;8;13;20;62;10;3;21;92;33;25;150;117;10;6;2;0;0;0;0;40;325;19;5;3;7;135;169;0;3;0;66;26;0;14;12;66;58;3;10;0;41;4;0;0;0;0;963;3
35;4;2020;2020-04-01;40;2;Rio de Janeiro;3304557;Capital;4;0;0;4;5;9;5;69;12;1;22;58;16;2;76;75;22;4;0;0;0;0;2;20;199;32;6;3;12;67;120;0;2;0;87;4;1;3;0;24;48;3;6;0;47;7;0;0;0;0;665;3
36;4;2020;2020-04-01;27;2;Rio de Janeiro;3304557;Capital;3;0;0;3;0;3;1;90;5;3;13;51;9;2;62;8;6;5;2;0;0;0;3;15;101;16;5;2;6;57;86;0;1;1;82;1;0;1;0;6;10;0;8;0;59;4;0;0;0;0;633;3
37;4;2020;2020-04-01;17;1;Rio de Janeiro;3304557;Capital;6;0;0;6;1;7;0;29;0;0;6;44;4;6;54;10;2;2;0;0;0;0;2;6;76;5;18;5;3;56;87;0;2;1;49;3;0;3;0;12;69;43;1;0;31;1;0;0;0;0;448;3
38;4;2020;2020-04-01;16;1;Rio de Janeiro;3304557;Capital;4;0;0;4;1;5;1;46;4;6;17;40;20;1;61;49;18;1;0;0;0;0;1;24;154;18;1;0;4;24;48;0;1;0;20;5;0;4;1;36;21;2;5;0;28;4;0;0;0;0;404;3
39;4;2020;2020-04-01;41;2;Rio de Janeiro;3304557;Capital;6;0;1;7;23;30;1;28;1;0;1;88;29;49;166;105;17;5;2;0;0;0;1;118;414;11;3;1;1;38;54;0;0;0;7;17;0;17;0;63;31;6;8;0;20;2;0;0;0;0;756;3
40;4;2020;2020-04-01;9;2;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;2;25;2;2;2;58;12;10;80;23;0;7;0;0;0;0;0;28;138;9;1;1;1;36;48;0;1;0;29;4;0;4;0;14;14;5;4;0;13;0;0;0;0;0;323;3
41;4;2020;2020-04-01;18;2;Rio de Janeiro;3304557;Capital;3;0;0;3;0;3;0;17;1;0;6;29;14;1;44;6;1;1;0;0;0;0;0;4;56;6;2;9;8;51;76;0;0;0;64;2;1;0;1;6;16;0;1;0;27;2;0;0;0;0;345;3
42;4;2020;2020-04-01;31;2;Rio de Janeiro;3304557;Capital;1;0;0;1;0;1;0;22;1;0;6;5;3;1;9;8;1;3;0;0;0;0;0;7;28;17;1;0;6;79;107;0;1;1;60;12;11;1;0;1;8;0;12;0;32;3;0;0;0;0;394;3
43;4;2020;2020-04-01;27;2;Rio de Janeiro;3304557;Capital;1;0;0;1;0;1;0;31;3;5;11;4;5;1;10;7;1;0;0;0;0;0;0;4;22;9;1;0;5;23;38;0;2;0;10;2;0;2;0;5;7;0;1;0;13;2;2;0;0;0;191;3
44;4;2020;2020-04-01;3;1;Rio de Janeiro;3304557;Capital;6;0;0;6;0;6;0;24;3;1;2;47;18;7;72;28;5;1;0;0;0;0;0;24;130;6;2;0;1;48;57;0;1;0;21;9;2;7;0;9;15;2;2;0;13;1;0;0;0;0;330;3
48;4;2020;2020-04-01;24;3;Seropédica;3305554;Baixada Fluminense;3;0;0;3;0;3;2;20;1;2;6;3;2;0;5;4;1;1;1;0;0;0;0;4;16;7;0;0;1;5;14;0;1;0;6;4;0;4;0;5;11;0;4;0;17;1;1;0;0;0;148;3
50;4;2020;2020-04-01;24;3;Itaguaí;3302007;Baixada Fluminense;0;0;0;0;3;3;6;30;5;1;6;14;3;1;18;7;2;2;0;0;0;0;0;0;29;1;2;0;4;34;41;0;0;0;7;9;0;9;0;4;19;5;6;0;17;6;1;0;0;0;187;3
51;4;2020;2020-04-01;24;3;Paracambi;3303609;Baixada Fluminense;0;0;0;0;0;0;0;6;1;0;2;0;1;0;1;1;0;0;0;0;1;0;0;0;3;1;0;0;0;2;3;0;1;0;2;7;2;5;0;0;8;0;0;0;2;1;0;0;0;0;32;3
52;4;2020;2020-04-01;20;3;Nova Iguaçu;3303500;Baixada Fluminense;1;0;0;1;2;3;1;26;7;1;1;22;10;3;35;34;1;0;1;0;0;0;1;6;78;12;4;1;4;18;42;0;1;0;11;6;5;1;0;16;25;2;18;0;12;1;0;0;0;0;316;3
53;4;2020;2020-04-01;20;3;Mesquita;3302858;Baixada Fluminense;6;0;0;6;7;13;2;39;1;0;9;60;21;25;106;13;8;3;0;0;0;0;1;11;142;18;7;1;4;21;51;0;0;0;18;18;0;18;0;12;33;11;6;0;28;7;0;0;0;0;405;3
54;4;2020;2020-04-01;39;3;Belford Roxo;3300456;Baixada Fluminense;15;2;0;17;11;28;6;108;11;1;7;50;23;8;81;90;8;0;0;0;0;0;4;34;217;27;5;1;7;57;97;0;1;0;28;11;0;11;0;64;35;5;15;0;89;6;0;0;0;0;771;3
55;4;2020;2020-04-01;24;3;Queimados;3304144;Baixada Fluminense;6;0;0;6;2;8;2;23;1;1;2;13;7;3;23;8;0;0;0;0;0;0;0;4;35;7;0;0;1;11;19;0;1;0;9;6;0;5;1;3;12;5;3;0;16;2;0;0;0;0;167;3
56;4;2020;2020-04-01;20;3;Nova Iguaçu;3303500;Baixada Fluminense;6;0;0;6;7;13;7;41;5;2;2;32;15;5;52;30;3;4;2;0;0;0;1;18;110;18;3;0;5;16;43;0;1;0;4;7;1;6;0;13;26;1;2;0;24;0;0;0;0;0;320;3
57;4;2020;2020-04-01;20;3;Nilópolis;3303203;Baixada Fluminense;3;0;0;3;1;4;2;36;1;0;7;35;42;2;79;46;1;2;0;0;0;0;2;26;156;9;1;2;0;24;36;0;1;0;13;2;0;2;0;13;26;2;5;0;24;2;0;0;0;0;367;3
